dataset_id,layer_group,priority,status,publisher,source_name,url,licence,format,native_crs,resolution_or_scale,dataset_date_or_edition,download_date,publicly_downloadable,sensitive_data_risk,story_section,python_vs_arcgis,notes_limitations
trails_access,PEOPLE,Strong supporting,Proposed,NPWS / OSM (fallback),Walking tracks / reserve access,NPWS park data / OSM,CC BY / ODbL,Vector,Varies,local,,Partial,Low,People,PYTHON PREP,NPWS preferred; OSM only as labelled community fallback.,
wingecarribee_swamp,CONTEXT,Strong supporting,Proposed,NPWS Estate + wetlands products,Wingecarribee Swamp / wetland features within AOI,NPWS Estate + HydroArea/wetlands,CC BY,Vector,EPSG:7856,feature,,Yes,Low–Medium,Network context,PYTHON PREP,Include if intersects buffer or context AOI — do not assume ecological connection.,
budderoo_barren_grounds,CONTEXT,Strong supporting,Proposed,NPWS Estate,Budderoo NP / Barren Grounds NR (and related SCA),NPWS Estate filter,CC BY 4.0,Shapefile,EPSG:7856,reserve,,Yes,Low,Network context,PYTHON PREP,Context reserves for wider network story; connectivity must be tested not assumed.,
illawarra_escarpment_parks,CONTEXT,Strong supporting,Proposed,NPWS Estate,Illawarra Escarpment / Macquarie Pass and related parks,NPWS Estate filter,CC BY 4.0,Shapefile,EPSG:7856,reserve,,Yes,Low,Network context,PYTHON PREP,May sit at/beyond 12.5 km — include in optional expanded context AOI.,
habitat_patches,CONNECTIONS,Essential,Derived,Project-derived from SVTM (+ optional canopy),Native vegetation habitat patches,n/a (derived),Derived,GeoPackage,EPSG:7856,from dissolve/threshold,,,Low,Network,PYTHON PREP + ARCGIS ANALYSIS,Document minimum patch size and vegetation rules. No multi-criteria score yet.,
patch_metrics,CONNECTIONS,Essential,Derived,Project-derived,Patch size isolation nearest-neighbour distance,n/a (derived),Derived,GeoPackage + CSV,EPSG:7856,patch objects,,,Low,Network,PYTHON PREP (basic) + ARCGIS (advanced),Python can compute area/distance stats; corridors/cost distance in ArcGIS.,
analysis_grid_250,GRID,Essential,Derived,Project-derived,250 m analysis grid + metrics,n/a (derived),Derived,GeoPackage + CSV,EPSG:7856,250 m,,,Low,All sections,PYTHON PREP,Master tabular surface for dashboard and ArcGIS joins.,
restoration_candidates,FUTURE,Strong supporting,Downloaded,Project-derived,Unweighted restoration opportunity components,n/a (derived),Derived,GeoPackage,EPSG:7856,grid or polygons,,2026-08-10,Low after aggregation,Opportunity,PYTHON PREP variables → ARCGIS INDEX LATER,Map variables independently first; no weights until Phase 5+.,
yarrawa_brush_named_boundary,THEN_NOW,Probably unnecessary / Not defensible as geometry,Unavailable as official layer,,Named historic Yarrawa Brush polygon,No official open polygon found,,,,Literature ~2450–2500 ha estimates,Historic literature,,No,,Remnant narrative,DOCUMENT ONLY,Do not fabricate boundary. Use SVTM pre-clearing rainforest PCTs + literature area as text. Kevin Mills historical reconstructions are research products — cite if digitised later with permission/source.
local_climate_attribution,CLIMATE,Probably unnecessary,Not supported,,Reserve-driven regional climate effect,,,,,,,,,Climate,EXCLUDE,A ~5 ha reserve cannot defensibly be shown to change regional climate with available data.,
precise_sensitive_species_points,BIODIVERSITY,Probably unnecessary (public product),Restricted,NSW DCCEEW,Precise sensitive threatened species coordinates,BioNet Sensitive Species Data Licence,Restricted,API with elevated access,WGS84,point,,Licence required,Very High,Refuge,AGGREGATE ONLY,Public dashboard must use denatured/public or grid-aggregated threatened species.,
